lat,lon,city,y1978,y1988,y2002,y2012
-6.7831998,39.2676697,Dar es Salaam,769445,1205443,2497940,4364541
-2.5341401,32.9426003,Mwanza,110553,172287,476646,706543
-3.3513,36.6703987,Arusha,55223,102544,282712,416442
-6.1705999,35.7308006,Dodoma,45807,83205,324347,410956
-8.9280596,33.3819008,Mbeya,76601,130798,266422,385279
-6.7860599,37.6651001,Morogoro,60782,117760,228863,315866
-5.0866098,39.0973015,Tanga,103399,137364,243580,273332
-3.8406999,32.5957718,Kahama,----,----,----,242208
-5.0309,32.8196106,Tabora,67388,92779,135243,226999
-6.1838002,39.2284012,Zanzibar City,110531,157634,206292,223033
-4.8523698,29.6961994,Kigoma,50075,74224,144852,215458
-7.9817801,31.6237602,Sumbawanga,28586,47878,80284,209793
-4.5703001,30.0958691,Kasulu,----,----,----,208244
-10.6871996,35.6495018,Songea,17955,52985,108771,203309
-3.3448501,37.3400002,Moshi,52046,96838,144336,184292
-1.51333,33.7910995,Musoma,31051,63652,108242,178356
-3.6777301,33.4034004,Shinyanga,20439,46802,135166,161391
-7.7626901,35.6874008,Iringa,57164,84860,106668,151345
-5.7164679,34.4997063,Singida,29258,39598,115354,150379
-9.3676205,34.9001007,Njombe,,25213,42332,130223
-1.33218,31.8104,Bukoba,21547,28702,61652,128796
-6.7634501,38.9493294,Kibaha,----,----,----,128488
-10.3035002,40.1717987,Mtwara,48491,66452,92602,108299
-6.3491201,31.0658894,Mpanda,13450,41014,45977,102900
-9.3113699,32.7684517,Tunduma,----,----,34461,97562
-8.8500004,34.8333321,Makambako,,,51049,93827
-4.2158799,35.7497711,Babati,----,----,----,93108
-5.4207401,38.0281487,Handeni,----,----,----,79056
-9.9795198,39.705101,Lindi,27312,41587,41549,78841
-5.1641598,38.4628983,Korogwe,----,----,----,68308
-7.25,35.0667,Mafinga,----,----,----,51902
